IATA,Centro,Nave,Tipo de Almacenamiento,Posicion,Tipo de Posicion,Division Horizontal,Piso,Pasillo,Columna,Altura,Largo,Alto,Ancho,Peso
RDI,A048,CD SARANDI NAVE 1,General,RAC038.10A,Rack,1,1,RAC,038,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC036.10A,Rack,1,1,RAC,036,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC034.10A,Rack,1,1,RAC,034,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC032.10A,Rack,1,1,RAC,032,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC030.10A,Rack,1,1,RAC,030,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC028.10A,Rack,1,1,RAC,028,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC026.10A,Rack,1,1,RAC,026,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC024.10A,Rack,1,1,RAC,024,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC022.10A,Rack,1,1,RAC,022,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC020.10A,Rack,1,1,RAC,020,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC018.10A,Rack,1,1,RAC,018,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC016.10A,Rack,1,1,RAC,016,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC014.10A,Rack,1,1,RAC,014,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC012.10A,Rack,1,1,RAC,012,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC010.10A,Rack,1,1,RAC,010,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC008.10A,Rack,1,1,RAC,008,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC006.10A,Rack,1,1,RAC,006,10,100,180,120,1050
