SUCURSAL;ACTIVIDAD;MTS2;FTE;TIENE MTS2;TIENE FTE;ESTADO / INCONSISTENCIA
COR;RRHH;372;;SI;NO;MTS2 sin FTE
COR;SISTEMAS;384;;SI;NO;MTS2 sin FTE
COR;FLOTA PROPIA CAMIONETA;;3;NO;SI;OK - Sin mts2
COR;FLOTA PROPIA MOTO;;1;NO;SI;OK - Sin mts2
COR;ADMINISTRACION OP DI;1584;1,2;SI;SI;OK - Tiene MTS2 y FTE
COR;ADMINISTRACION OP SP;936;1,15;SI;SI;OK - Tiene MTS2 y FTE
COR;ALMACENAMIENTO AG;39881,56;2,2;SI;SI;OK - Tiene MTS2 y FTE
COR;ALMACENAMIENTO AS;83591,24;1;SI;SI;OK - Tiene MTS2 y FTE
COR;CALIDAD Y DIR TECNICA;312;2,63;SI;SI;OK - Tiene MTS2 y FTE
COR;CLASIFICACION DI;187,2;1;SI;SI;OK - Tiene MTS2 y FTE
COR;CLASIFICACION SP;144;1,85;SI;SI;OK - Tiene MTS2 y FTE
COR;DISTRIBUCION DI;17108,8;13,33;SI;SI;OK - Tiene MTS2 y FTE
COR;INGRESO AG;4944,27;2,65;SI;SI;OK - Tiene MTS2 y FTE
COR;INGRESO AS;12479,73;6,3;SI;SI;OK - Tiene MTS2 y FTE
COR;INGRESOS SP;336;1,35;SI;SI;OK - Tiene MTS2 y FTE
COR;MANTENIMIENTO;1440;2;SI;SI;OK - Tiene MTS2 y FTE
COR;PICKING AG;4394,17;2,2;SI;SI;OK - Tiene MTS2 y FTE
COR;PICKING AS;4421,04;4,8;SI;SI;OK - Tiene MTS2 y FTE
COR;RENDICION SP;240;0,35;SI;SI;OK - Tiene MTS2 y FTE
CRD;ADMINISTRACION OP SP;;0,4;NO;SI;FTE sin MTS2
CRD;ADMISION DI;;0,69;NO;SI;FTE sin MTS2
CRD;IMPOSICION DI;;0,55;NO;SI;FTE sin MTS2
CRD;LIMPIEZA;;1;NO;SI;FTE sin MTS2
CRD;RENDICION DI;;0,55;NO;SI;FTE sin MTS2
CRD;TRONCAL AEREO DI;;0,4;NO;SI;FTE sin MTS2
