SUCURSAL;ACTIVIDAD;MTS2;FTE;TIENE MTS2;TIENE FTE;ESTADO / INCONSISTENCIA
MVA;CONSULTORIA SE;269634;;SI;NO;MTS2 sin FTE
NAC;ADMINISTRACION OP AG;;1,2;NO;SI;FTE sin MTS2
NAC;ADMINISTRACION OP AS;;1,2;NO;SI;FTE sin MTS2
NAC;ADMINISTRACION OP DI;;4,2;NO;SI;FTE sin MTS2
NAC;ADMINISTRACION OP SP;;1;NO;SI;FTE sin MTS2
NAC;ADMINISTRACION OP XD;;0,2;NO;SI;FTE sin MTS2
NAC;MAILROOM SE;;0,2;NO;SI;FTE sin MTS2
NQN;ADMINISTRACION OP SP;;1,25;NO;SI;FTE sin MTS2
NQN;DISTRIBUCION SP;422,4;;SI;NO;MTS2 sin FTE
NQN;IMPOSICION DI;236,95;;SI;NO;MTS2 sin FTE
NQN;INGRESOS SP;421,2;;SI;NO;MTS2 sin FTE
NQN;RECEPCION SP;84,96;;SI;NO;MTS2 sin FTE
NQN;RENDICION DI;2202,94;;SI;NO;MTS2 sin FTE
NQN;FLOTA PROPIA CAMIONETA;;1;NO;SI;OK - Sin mts2
NQN;FLOTA PROPIA MOTO;;1;NO;SI;OK - Sin mts2
NQN;ADMINISTRACION OP DI;2165,92;1,25;SI;SI;OK - Tiene MTS2 y FTE
NQN;ADMISION DI;9237,54;1,4;SI;SI;OK - Tiene MTS2 y FTE
NQN;ARMADO SP;84,24;0,25;SI;SI;OK - Tiene MTS2 y FTE
NQN;CLASIFICACION DI;14083,36;1,4;SI;SI;OK - Tiene MTS2 y FTE
NQN;CLASIFICACION SP;61,44;0,25;SI;SI;OK - Tiene MTS2 y FTE
NQN;DISTRIBUCION DI;15331,06;3,93;SI;SI;OK - Tiene MTS2 y FTE
NQN;RENDICION SP;842,4;0,25;SI;SI;OK - Tiene MTS2 y FTE
NQN;TRONCAL AEREO DI;990,86;0,1;SI;SI;OK - Tiene MTS2 y FTE
NQN;TRONCAL TERRESTRE DI;1981,72;0,4;SI;SI;OK - Tiene MTS2 y FTE
PIL;CALIDAD Y DIR TECNICA GLOBAL;;1;NO;SI;FTE sin MTS2
PIL;INPLANT RECURSOS HUMANOS;;1;NO;SI;FTE sin MTS2
PIL;MANTENIMIENTO;;1,95;NO;SI;FTE sin MTS2
PIL;PICKING AG;;1;NO;SI;FTE sin MTS2
PIL;ADMINISTRACION OP AG;3150;44;SI;SI;OK - Tiene MTS2 y FTE
PIL;ALMACENAMIENTO AG;1976142;4,86;SI;SI;OK - Tiene MTS2 y FTE
PLO;ADMINISTRACION OP AS;;5;NO;SI;FTE sin MTS2
PLO;ADMISION DI;;7,65;NO;SI;FTE sin MTS2
PLO;CALIDAD Y DIR TECNICA GLOBAL;;2;NO;SI;FTE sin MTS2
PLO;COMERCIALES;;3;NO;SI;FTE sin MTS2
PLO;CONTROL GESTION OP;;14;NO;SI;FTE sin MTS2
PLO;CUSTOMER SUCCESS;;1;NO;SI;FTE sin MTS2
PLO;ESTRATEGIA TRANSPORTE;;1;NO;SI;FTE sin MTS2
PLO;INGRESO AS;;1,33;NO;SI;FTE sin MTS2
PLO;INPLANT INF Y TECNOLOG;;3;NO;SI;FTE sin MTS2
PLO;INPLANT RECURSOS HUMANOS;;11,62;NO;SI;FTE sin MTS2
PLO;LIMPIEZA;;1;NO;SI;FTE sin MTS2
PLO;PICKING AS;;0,83;NO;SI;FTE sin MTS2
PLO;SEGURIDAD E HIGIENE;;2;NO;SI;FTE sin MTS2
PLO;SEGURIDAD PATRIMONIAL;;3;NO;SI;FTE sin MTS2
PLO;TRONCAL TERRESTRE DI;;3,55;NO;SI;FTE sin MTS2
PLO;CALIDAD Y DIR TECNICA;126,88;;SI;NO;MTS2 sin FTE
PLO;COMERCIAL;164,92;;SI;NO;MTS2 sin FTE
PLO;OBRAS CIVILES;281,02;;SI;NO;MTS2 sin FTE
PLO;RRHH;1932,53;;SI;NO;MTS2 sin FTE
PLO;FLOTA PROPIA CAMIONETA;;12,27;NO;SI;OK - Sin mts2
PLO;ADMINISTRACION OP DI;7028,83;7,8;SI;SI;OK - Tiene MTS2 y FTE
PLO;ADMINISTRACION OP XD;7200,05;34,43;SI;SI;OK - Tiene MTS2 y FTE
PLO;ALMACENAMIENTO AS;8751,12;0,84;SI;SI;OK - Tiene MTS2 y FTE
PLO;CLASIFICACION DI;18666;12,6;SI;SI;OK - Tiene MTS2 y FTE
PLO;CROSS DOCK MELI SE;1175217,6;672,09;SI;SI;OK - Tiene MTS2 y FTE
PLO;DISTRIBUCION DI;61430,88;46,53;SI;SI;OK - Tiene MTS2 y FTE
PLO;IMPOSICION DI;56995,68;4,75;SI;SI;OK - Tiene MTS2 y FTE
PLO;MANTENIMIENTO;1556,05;6;SI;SI;OK - Tiene MTS2 y FTE
PLO;PROGRAMACION DI;882,83;0,2;SI;SI;OK - Tiene MTS2 y FTE
PLO;RENDICION DI;7607,38;10,55;SI;SI;OK - Tiene MTS2 y FTE
PRA;CLASIFICACION SP;100,8;;SI;NO;MTS2 sin FTE
PRA;DISTRIBUCION SP;140;;SI;NO;MTS2 sin FTE
PRA;INGRESOS SP;67,2;;SI;NO;MTS2 sin FTE
PRA;RECEPCION SP;134,4;;SI;NO;MTS2 sin FTE
PRA;AYUDANTE DE FLOTA;;0,05;NO;SI;OK - Sin mts2
PRA;FLOTA PROPIA CAMIONETA;;7,14;NO;SI;OK - Sin mts2
PRA;FLOTA PROPIA MOTO;;1;NO;SI;OK - Sin mts2
PRA;ADMINISTRACION OP DI;3153,38;0,9;SI;SI;OK - Tiene MTS2 y FTE
PRA;ADMINISTRACION OP SP;134,4;0,6;SI;SI;OK - Tiene MTS2 y FTE
PRA;ADMISION DI;5764,58;0,6;SI;SI;OK - Tiene MTS2 y FTE
PRA;CLASIFICACION DI;12388,58;0,5;SI;SI;OK - Tiene MTS2 y FTE
PRA;DISTRIBUCION DI;6320,58;13,57;SI;SI;OK - Tiene MTS2 y FTE
PRA;IMPOSICION DI;2740,58;0,9;SI;SI;OK - Tiene MTS2 y FTE
PRA;RENDICION DI;3220,58;0,6;SI;SI;OK - Tiene MTS2 y FTE
PRA;RENDICION SP;134,4;0,5;SI;SI;OK - Tiene MTS2 y FTE
PRA;TRONCAL TERRESTRE DI;3796,58;0,4;SI;SI;OK - Tiene MTS2 y FTE
PSJ;ADMISION DI;607,92;;SI;NO;MTS2 sin FTE
PSJ;CLASIFICACION DI;911,88;;SI;NO;MTS2 sin FTE
PSJ;DISTRIBUCION DI;911,88;;SI;NO;MTS2 sin FTE
PSJ;IMPOSICION DI;607,92;;SI;NO;MTS2 sin FTE
PSJ;INGRESOS SP;851,09;;SI;NO;MTS2 sin FTE
PSJ;RENDICION DI;607,92;;SI;NO;MTS2 sin FTE
PSJ;RENDICION SP;668,71;;SI;NO;MTS2 sin FTE
PSJ;TRONCAL TERRESTRE DI;911,88;;SI;NO;MTS2 sin FTE
PSS;ADMINISTRACION OP SP;;0,2;NO;SI;FTE sin MTS2
PSS;MAILROOM SE;;2;NO;SI;FTE sin MTS2
PSS;CLASIFICACION SP;1991,76;;SI;NO;MTS2 sin FTE
PSS;DISTRIBUCION SP;459,8;;SI;NO;MTS2 sin FTE
PSS;INGRESOS SP;551,76;;SI;NO;MTS2 sin FTE
PSS;FLOTA PROPIA CAMIONETA;;12,38;NO;SI;OK - Sin mts2
PSS;FLOTA PROPIA MOTO;;3;NO;SI;OK - Sin mts2
PSS;ADMINISTRACION OP DI;913,2;3,2;SI;SI;OK - Tiene MTS2 y FTE
PSS;ADMISION DI;240;0,55;SI;SI;OK - Tiene MTS2 y FTE
PSS;CLASIFICACION DI;21216;1,2;SI;SI;OK - Tiene MTS2 y FTE
PSS;DISTRIBUCION DI;3751,48;5,95;SI;SI;OK - Tiene MTS2 y FTE
PSS;IMPOSICION DI;240;0,55;SI;SI;OK - Tiene MTS2 y FTE
PSS;RECEPCION SP;551,76;0,2;SI;SI;OK - Tiene MTS2 y FTE
PSS;RENDICION DI;240;0,35;SI;SI;OK - Tiene MTS2 y FTE
PSS;RENDICION SP;551,76;0,4;SI;SI;OK - Tiene MTS2 y FTE
PSS;TRONCAL AEREO DI;288;0,3;SI;SI;OK - Tiene MTS2 y FTE
PSS;TRONCAL TERRESTRE DI;288;0,1;SI;SI;OK - Tiene MTS2 y FTE
RAF;ADMINISTRACION OP SP;;0,6;NO;SI;FTE sin MTS2
RAF;RENDICION DI;;1,9;NO;SI;FTE sin MTS2
RAF;DISTRIBUCION SP;560;;SI;NO;MTS2 sin FTE
RAF;AYUDANTE DE FLOTA;;1;NO;SI;OK - Sin mts2
RAF;CLASIFICACION DI;9710,4;0,5;SI;SI;OK - Tiene MTS2 y FTE
RAF;DISTRIBUCION DI;21961,6;3,86;SI;SI;OK - Tiene MTS2 y FTE
RAW;DISTRIBUCION DI;1008;;SI;NO;MTS2 sin FTE
RCE;OPERACIONES POSTAL SDI;;2;NO;SI;FTE sin MTS2
RCE;ADMINISTRACION OP SP;392;;SI;NO;MTS2 sin FTE
RCE;ARMADO SP;210;;SI;NO;MTS2 sin FTE
RCE;CLASIFICACION SP;280;;SI;NO;MTS2 sin FTE
RCE;DISTRIBUCION DI;181,2;;SI;NO;MTS2 sin FTE
RCE;DISTRIBUCION SP;246;;SI;NO;MTS2 sin FTE
RCE;DISTRIBUIDORES DOMICILIARIOS SDI;71,2;;SI;NO;MTS2 sin FTE
RCE;GUARDA SP;168;;SI;NO;MTS2 sin FTE
RCU;ADMISION DI;;1,9;NO;SI;FTE sin MTS2
RCU;DISTRIBUIDORES DOMICILIARIOS SDI;;12,87;NO;SI;FTE sin MTS2
RCU;IMPOSICION DI;;0,8;NO;SI;FTE sin MTS2
RCU;OPERACIONES POSTAL SDI;;4;NO;SI;FTE sin MTS2
RCU;RENDICION DI;;0,5;NO;SI;FTE sin MTS2
RCU;TRONCAL TERRESTRE DI;;0,6;NO;SI;FTE sin MTS2
RCU;DISTRIBUCION SP;1920;;SI;NO;MTS2 sin FTE
RCU;ADMINISTRACION OP DI;720;1,05;SI;SI;OK - Tiene MTS2 y FTE
RCU;CLASIFICACION DI;6984;2,2;SI;SI;OK - Tiene MTS2 y FTE
RCU;DISTRIBUCION DI;37776;2,95;SI;SI;OK - Tiene MTS2 y FTE
RDI;ADMINISTRACION OP DI;;8,4;NO;SI;FTE sin MTS2
RDI;MANTENIMIENTO;;1;NO;SI;FTE sin MTS2
RDI;PROGRAMACION DI;;0,3;NO;SI;FTE sin MTS2
RDI;RENDICION DI;;0,7;NO;SI;FTE sin MTS2
RDI;TRONCAL TERRESTRE DI;;0,6;NO;SI;FTE sin MTS2
RDI;RENDICION SP;672;;SI;NO;MTS2 sin FTE
RDI;FLOTA PROPIA CAMIONETA;;2;NO;SI;OK - Sin mts2
RDI;FLOTA PROPIA MOTO;;1;NO;SI;OK - Sin mts2
RDI;ADMISION DI;47489,33;0,2;SI;SI;OK - Tiene MTS2 y FTE
RDI;CLASIFICACION DI;214335,84;9,75;SI;SI;OK - Tiene MTS2 y FTE
RDI;DISTRIBUCION DI;132039,36;17,19;SI;SI;OK - Tiene MTS2 y FTE
REL;ADMINISTRACION OP SP;;1;NO;SI;FTE sin MTS2
REL;ASUNTOS INSTITUCIONALES;;1;NO;SI;FTE sin MTS2
REL;CALIDAD Y DIR TECNICA;;1;NO;SI;FTE sin MTS2
REL;LIMPIEZA;;3,93;NO;SI;FTE sin MTS2
REL;PROGRAMACION SP;;0,1;NO;SI;FTE sin MTS2
REL;RECEPCION SP;;0,1;NO;SI;FTE sin MTS2
REL;ALMACENAMIENTO AG;6160;;SI;NO;MTS2 sin FTE
REL;CLASIFICACION SP;121,44;;SI;NO;MTS2 sin FTE
REL;DISTRIBUCION SP;235,6;;SI;NO;MTS2 sin FTE
REL;FLOTA PROPIA CAMIONETA;;4;NO;SI;OK - Sin mts2
REL;ADMINISTRACION OP AS;6036;3,2;SI;SI;OK - Tiene MTS2 y FTE
REL;ADMINISTRACION OP DI;8242,4;0,1;SI;SI;OK - Tiene MTS2 y FTE
REL;ADMISION DI;331,2;1,84;SI;SI;OK - Tiene MTS2 y FTE
REL;ALMACENAMIENTO AS;17280;3;SI;SI;OK - Tiene MTS2 y FTE
REL;CLASIFICACION DI;938,4;1,17;SI;SI;OK - Tiene MTS2 y FTE
REL;DISTRIBUCION DI;14675,12;2,1;SI;SI;OK - Tiene MTS2 y FTE
REL;IMPOSICION DI;441,6;1,26;SI;SI;OK - Tiene MTS2 y FTE
REL;INGRESO AS;17906,4;3;SI;SI;OK - Tiene MTS2 y FTE
REL;INGRESOS SP;66,24;0,2;SI;SI;OK - Tiene MTS2 y FTE
REL;PICKING AS;43008;4;SI;SI;OK - Tiene MTS2 y FTE
REL;RENDICION DI;110,4;1,13;SI;SI;OK - Tiene MTS2 y FTE
REL;RENDICION SP;55,2;0,3;SI;SI;OK - Tiene MTS2 y FTE
REL;TRONCAL AEREO DI;1380;0,55;SI;SI;OK - Tiene MTS2 y FTE
REL;TRONCAL TERRESTRE DI;1380;0,95;SI;SI;OK - Tiene MTS2 y FTE
RES;ADMINISTRACION OP SP;;0,35;NO;SI;FTE sin MTS2
RES;ADMISION DI;;1,55;NO;SI;FTE sin MTS2
RES;RENDICION DI;;1,05;NO;SI;FTE sin MTS2
RES;RENDICION SP;;0,05;NO;SI;FTE sin MTS2
RES;TRONCAL AEREO DI;;0,35;NO;SI;FTE sin MTS2
RES;ALMACENAMIENTO AG;5712;;SI;NO;MTS2 sin FTE
RES;DISTRIBUCION SP;480;;SI;NO;MTS2 sin FTE
RES;ADMINISTRACION OP DI;1897,44;2,65;SI;SI;OK - Tiene MTS2 y FTE
RES;CLASIFICACION DI;16630,56;2;SI;SI;OK - Tiene MTS2 y FTE
RES;DISTRIBUCION DI;15192;10,1;SI;SI;OK - Tiene MTS2 y FTE
RES;IMPOSICION DI;1896;0,4;SI;SI;OK - Tiene MTS2 y FTE
RES;TRONCAL TERRESTRE DI;14232;0,5;SI;SI;OK - Tiene MTS2 y FTE
RGA;ADMINISTRACION OP SP;362,88;;SI;NO;MTS2 sin FTE
RGA;ADMISION DI;117,94;;SI;NO;MTS2 sin FTE
RGA;CLASIFICACION DI;117,94;;SI;NO;MTS2 sin FTE
RGA;CLASIFICACION SP;92,66;;SI;NO;MTS2 sin FTE
RGA;DISTRIBUCION SP;205,92;;SI;NO;MTS2 sin FTE
RGA;IMPOSICION DI;78,62;;SI;NO;MTS2 sin FTE
RGA;INGRESOS SP;92,66;;SI;NO;MTS2 sin FTE
RGA;RECEPCION SP;123,55;;SI;NO;MTS2 sin FTE
RGA;RENDICION DI;78,62;;SI;NO;MTS2 sin FTE
RGA;RENDICION SP;61,78;;SI;NO;MTS2 sin FTE
RGA;TRONCAL AEREO DI;117,94;;SI;NO;MTS2 sin FTE
RGA;TRONCAL TERRESTRE DI;157,25;;SI;NO;MTS2 sin FTE
RGA;ADMINISTRACION OP DI;362,88;1;SI;SI;OK - Tiene MTS2 y FTE
RGA;DISTRIBUCION DI;159,12;1;SI;SI;OK - Tiene MTS2 y FTE
RGL;ADMINISTRACION OP SP;;0,4;NO;SI;FTE sin MTS2
RGL;ADMISION DI;;0,2;NO;SI;FTE sin MTS2
RGL;IMPOSICION DI;;0,2;NO;SI;FTE sin MTS2
RGL;MAILROOM SE;;0,1;NO;SI;FTE sin MTS2
RGL;RECEPCION SP;;0,2;NO;SI;FTE sin MTS2
RGL;RENDICION DI;;0,2;NO;SI;FTE sin MTS2
RGL;RENDICION SP;;0,2;NO;SI;FTE sin MTS2
RGL;TRONCAL AEREO DI;;0,2;NO;SI;FTE sin MTS2
RGL;TRONCAL TERRESTRE DI;;0,2;NO;SI;FTE sin MTS2
RGL;ADMINISTRACION OP AG;288,6;;SI;NO;MTS2 sin FTE
RGL;ADMINISTRACION OP AS;288,6;;SI;NO;MTS2 sin FTE
RGL;ALMACENAMIENTO AG;1304,16;;SI;NO;MTS2 sin FTE
RGL;ALMACENAMIENTO AS;105,51;;SI;NO;MTS2 sin FTE
RGL;CLASIFICACION DI;2697,78;;SI;NO;MTS2 sin FTE
RGL;INGRESO AG;198;;SI;NO;MTS2 sin FTE
RGL;INGRESO AS;49,5;;SI;NO;MTS2 sin FTE
RGL;PICKING AG;232,41;;SI;NO;MTS2 sin FTE
RGL;PICKING AS;22;;SI;NO;MTS2 sin FTE
RGL;FLOTA PROPIA CAMIONETA;;3;NO;SI;OK - Sin mts2
RGL;ADMINISTRACION OP DI;872,6;0,9;SI;SI;OK - Tiene MTS2 y FTE
RGL;DISTRIBUCION DI;965,36;1,2;SI;SI;OK - Tiene MTS2 y FTE
ROS;ADMINISTRACION OP AG;;1,2;NO;SI;FTE sin MTS2
ROS;ADMINISTRACION OP SP;;1,4;NO;SI;FTE sin MTS2
ROS;CLASIFICACION SP;;0,4;NO;SI;FTE sin MTS2
ROS;COMERCIALES;;1;NO;SI;FTE sin MTS2
ROS;ESTRATEGIA TRANSPORTE;;1;NO;SI;FTE sin MTS2
ROS;INGRESO AG;;0,3;NO;SI;FTE sin MTS2
ROS;INPLANT RECURSOS HUMANOS;;1;NO;SI;FTE sin MTS2
ROS;MAILROOM SE;;7;NO;SI;FTE sin MTS2
ROS;PICKING AG;;0,3;NO;SI;FTE sin MTS2
ROS;PROGRAMACION DI;;1;NO;SI;FTE sin MTS2
ROS;PROGRAMACION SP;;0,3;NO;SI;FTE sin MTS2
ROS;RECEPCION SP;;0,5;NO;SI;FTE sin MTS2
ROS;RENDICION SP;;0,1;NO;SI;FTE sin MTS2
ROS;TRONCAL TERRESTRE DI;;0,2;NO;SI;FTE sin MTS2
ROS;DISTRIBUCION SP;3000;;SI;NO;MTS2 sin FTE
ROS;AYUDANTE DE FLOTA;;2,9;NO;SI;OK - Sin mts2
ROS;FLOTA PROPIA CAMIONETA;;5;NO;SI;OK - Sin mts2
ROS;FLOTA PROPIA MOTO;;7;NO;SI;OK - Sin mts2
ROS;ADMINISTRACION OP DI;4831,2;8,15;SI;SI;OK - Tiene MTS2 y FTE
ROS;ADMISION DI;7486,77;1;SI;SI;OK - Tiene MTS2 y FTE
ROS;ALMACENAMIENTO AG;2592;0,6;SI;SI;OK - Tiene MTS2 y FTE
ROS;CLASIFICACION DI;62421,76;14,55;SI;SI;OK - Tiene MTS2 y FTE
ROS;DISTRIBUCION DI;119556,32;27,52;SI;SI;OK - Tiene MTS2 y FTE
RSA;GUARDA SP;;1;NO;SI;FTE sin MTS2
RSA;INTERNACIONAL DI;;0,4;NO;SI;FTE sin MTS2
RSA;ADMINISTRACION OP SP;121,97;;SI;NO;MTS2 sin FTE
RSA;ADMISION DI;2945,87;;SI;NO;MTS2 sin FTE
RSA;DISTRIBUCION SP;146,8;;SI;NO;MTS2 sin FTE
RSA;IMPOSICION DI;1795,79;;SI;NO;MTS2 sin FTE
RSA;INGRESOS SP;176,16;;SI;NO;MTS2 sin FTE
RSA;RECEPCION SP;176,16;;SI;NO;MTS2 sin FTE
RSA;RENDICION SP;176,16;;SI;NO;MTS2 sin FTE
RSA;ADMINISTRACION OP DI;558,1;1;SI;SI;OK - Tiene MTS2 y FTE
RSA;CLASIFICACION DI;10072,49;0,8;SI;SI;OK - Tiene MTS2 y FTE
RSA;DISTRIBUCION DI;4396,58;4,91;SI;SI;OK - Tiene MTS2 y FTE
RSA;RENDICION DI;1795,79;0,8;SI;SI;OK - Tiene MTS2 y FTE
RSA;TRONCAL TERRESTRE DI;397,02;0,8;SI;SI;OK - Tiene MTS2 y FTE
RTC;ADMINISTRACION OP SP;147;;SI;NO;MTS2 sin FTE
RTC;CLASIFICACION SP;147;;SI;NO;MTS2 sin FTE
RTC;DISTRIBUCION DI;291;;SI;NO;MTS2 sin FTE
RTC;DISTRIBUCION SP;375;;SI;NO;MTS2 sin FTE
RTC;DISTRIBUIDORES DOMICILIARIOS SDI;111;;SI;NO;MTS2 sin FTE
SDE;ADMINISTRACION OP SP;;0,2;NO;SI;FTE sin MTS2
SDE;IMPOSICION DI;;0,17;NO;SI;FTE sin MTS2
SDE;CLASIFICACION DI;832;;SI;NO;MTS2 sin FTE
SDE;ADMINISTRACION OP DI;720;0,8;SI;SI;OK - Tiene MTS2 y FTE
SDE;ADMISION DI;832;0,17;SI;SI;OK - Tiene MTS2 y FTE
SDE;DISTRIBUCION DI;832;3,17;SI;SI;OK - Tiene MTS2 y FTE
SDE;RENDICION DI;832;0,15;SI;SI;OK - Tiene MTS2 y FTE
SDE;TRONCAL AEREO DI;832;0,17;SI;SI;OK - Tiene MTS2 y FTE
SDE;TRONCAL TERRESTRE DI;832;0,17;SI;SI;OK - Tiene MTS2 y FTE
SFN;FACTURACION Y CTAS A PAGAR;;1;NO;SI;FTE sin MTS2
SFN;PROGRAMACION DI;;0,5;NO;SI;FTE sin MTS2
SFN;ALMACENAMIENTO AG;7476,62;;SI;NO;MTS2 sin FTE
SFN;CLASIFICACION SP;1276,6;;SI;NO;MTS2 sin FTE
SFN;DISTRIBUCION SP;580,07;;SI;NO;MTS2 sin FTE
SFN;INGRESO AG;3714,4;;SI;NO;MTS2 sin FTE
SFN;INGRESOS SP;1276,6;;SI;NO;MTS2 sin FTE
SFN;PICKING AG;2807,55;;SI;NO;MTS2 sin FTE
SFN;RECEPCION SP;191,77;;SI;NO;MTS2 sin FTE
SFN;RENDICION SP;283,93;;SI;NO;MTS2 sin FTE
SFN;TRONCAL TERRESTRE DI;1071,43;;SI;NO;MTS2 sin FTE
SFN;AYUDANTE DE FLOTA;;6;NO;SI;OK - Sin mts2
SFN;FLOTA PROPIA CAMIONETA;;3;NO;SI;OK - Sin mts2
SFN;FLOTA PROPIA MOTO;;3;NO;SI;OK - Sin mts2
SFN;ADMINISTRACION OP AG;960;0,5;SI;SI;OK - Tiene MTS2 y FTE
SFN;ADMINISTRACION OP DI;7023,97;4,9;SI;SI;OK - Tiene MTS2 y FTE
SFN;ADMINISTRACION OP SP;226,63;1,4;SI;SI;OK - Tiene MTS2 y FTE
SFN;ADMISION DI;15936,83;0,5;SI;SI;OK - Tiene MTS2 y FTE
SFN;CLASIFICACION DI;57717,24;9;SI;SI;OK - Tiene MTS2 y FTE
SFN;DISTRIBUCION DI;25366,62;5,59;SI;SI;OK - Tiene MTS2 y FTE
SFN;IMPOSICION DI;6383,32;0,55;SI;SI;OK - Tiene MTS2 y FTE
SFN;RENDICION DI;7147,74;0,25;SI;SI;OK - Tiene MTS2 y FTE
SL3;ALMACENAMIENTO AG;116548,8;;SI;NO;MTS2 sin FTE
SLA;ADMINISTRACION OP SP;;0,6;NO;SI;FTE sin MTS2
SLA;ESTRATEGIA TRANSPORTE;;0,5;NO;SI;FTE sin MTS2
SLA;INPLANT INF Y TECNOLOG;;1;NO;SI;FTE sin MTS2
SLA;INPLANT RECURSOS HUMANOS;;1;NO;SI;FTE sin MTS2
SLA;MAILROOM SE;;2,05;NO;SI;FTE sin MTS2
SLA;SEGURIDAD E HIGIENE;;1;NO;SI;FTE sin MTS2
SLA;ADMISION DI;1164;;SI;NO;MTS2 sin FTE
SLA;COMERCIAL;456;;SI;NO;MTS2 sin FTE
SLA;IMPOSICION DI;2232;;SI;NO;MTS2 sin FTE
SLA;RRHH;720;;SI;NO;MTS2 sin FTE
SLA;SISTEMAS;112,8;;SI;NO;MTS2 sin FTE
SLA;ADMINISTRACION OP AG;2440,8;2;SI;SI;OK - Tiene MTS2 y FTE
SLA;ADMINISTRACION OP AS;3415,2;3,2;SI;SI;OK - Tiene MTS2 y FTE
SLA;ADMINISTRACION OP DI;432;1,35;SI;SI;OK - Tiene MTS2 y FTE
SLA;ALMACENAMIENTO AG;125856;2,54;SI;SI;OK - Tiene MTS2 y FTE
SLA;ALMACENAMIENTO AS;89904;3,6;SI;SI;OK - Tiene MTS2 y FTE
SLA;CALIDAD Y DIR TECNICA;499,2;2;SI;SI;OK - Tiene MTS2 y FTE
SLA;CLASIFICACION DI;10368;0,25;SI;SI;OK - Tiene MTS2 y FTE
SLA;DISTRIBUCION DI;14186,4;6,87;SI;SI;OK - Tiene MTS2 y FTE
SLA;INGRESO AG;1392;1,13;SI;SI;OK - Tiene MTS2 y FTE
SLA;INGRESO AS;2256;5,8;SI;SI;OK - Tiene MTS2 y FTE
SLA;MANTENIMIENTO;1320;3;SI;SI;OK - Tiene MTS2 y FTE
SLA;PICKING AG;768;0,84;SI;SI;OK - Tiene MTS2 y FTE
SLA;PICKING AS;8784;16,6;SI;SI;OK - Tiene MTS2 y FTE
SLT;ADMINISTRACION OP AG;;0,85;NO;SI;FTE sin MTS2
SLT;ADMINISTRACION OP AS;;0,65;NO;SI;FTE sin MTS2
SLT;ADMINISTRACION OP DI;;3,85;NO;SI;FTE sin MTS2
SLT;ADMINISTRACION OP SP;;1,8;NO;SI;FTE sin MTS2
SLT;ADMISION DI;;1,4;NO;SI;FTE sin MTS2
SLT;ARMADO SP;;0,2;NO;SI;FTE sin MTS2
SLT;ASUNTOS INSTITUCIONALES;;2;NO;SI;FTE sin MTS2
SLT;CLASIFICACION DI;;2,25;NO;SI;FTE sin MTS2
SLT;CLASIFICACION SP;;0,5;NO;SI;FTE sin MTS2
SLT;IMPOSICION DI;;2,15;NO;SI;FTE sin MTS2
SLT;INGRESOS SP;;2,1;NO;SI;FTE sin MTS2
SLT;PICKING AS;;0,5;NO;SI;FTE sin MTS2
SLT;PROGRAMACION SP;;0,1;NO;SI;FTE sin MTS2
SLT;RECEPCION SP;;0,75;NO;SI;FTE sin MTS2
SLT;RENDICION DI;;0,55;NO;SI;FTE sin MTS2
SLT;RENDICION SP;;2,4;NO;SI;FTE sin MTS2
SLT;TRONCAL AEREO DI;;0,55;NO;SI;FTE sin MTS2
SLT;TRONCAL TERRESTRE DI;;0,5;NO;SI;FTE sin MTS2
SLT;ALMACENAMIENTO AS;19791,65;;SI;NO;MTS2 sin FTE
SLT;INGRESO AS;1663,55;;SI;NO;MTS2 sin FTE
SLT;FLOTA PROPIA CAMIONETA;;5;NO;SI;OK - Sin mts2
SLT;FLOTA PROPIA MOTO;;11;NO;SI;OK - Sin mts2
SLT;ALMACENAMIENTO AG;46180,51;0,83;SI;SI;OK - Tiene MTS2 y FTE
SLT;DISTRIBUCION DI;5658,72;8;SI;SI;OK - Tiene MTS2 y FTE
SLT;INGRESO AG;3881,62;1,03;SI;SI;OK - Tiene MTS2 y FTE
SLT;PICKING AG;330,54;1,04;SI;SI;OK - Tiene MTS2 y FTE
SLW;ADMINISTRACION OP AG;;0,4;NO;SI;FTE sin MTS2
SLW;ALMACENAMIENTO AS;;0,6;NO;SI;FTE sin MTS2
SLW;ADMINISTRACION OP SP;1467,81;;SI;NO;MTS2 sin FTE
SLW;ALMACENAMIENTO AG;69997,44;;SI;NO;MTS2 sin FTE
SLW;ARMADO SP;295,28;;SI;NO;MTS2 sin FTE
SLW;CLASIFICACION SP;546,24;;SI;NO;MTS2 sin FTE
SLW;DISTRIBUCION DI;130,55;;SI;NO;MTS2 sin FTE
SLW;DISTRIBUCION SP;652,76;;SI;NO;MTS2 sin FTE
SLW;INGRESO AG;2315,93;;SI;NO;MTS2 sin FTE
SLW;INGRESOS SP;1181,14;;SI;NO;MTS2 sin FTE
SLW;PICKING AG;4946,35;;SI;NO;MTS2 sin FTE
SLW;RECEPCION SP;1174,96;;SI;NO;MTS2 sin FTE
SLW;RENDICION SP;2572;;SI;NO;MTS2 sin FTE
TUC;COMERCIALES;;1;NO;SI;FTE sin MTS2
TUC;GUARDA SP;;1;NO;SI;FTE sin MTS2
TUC;MAILROOM SE;;1,1;NO;SI;FTE sin MTS2
TUC;ALMACENAMIENTO AG;3756;;SI;NO;MTS2 sin FTE
